G: [ 2.6415, 0.3 ]
P: [ 0.5, -0.3 ]
K: [ 0.639626, -0.3 ]
K: [ 0.360374, -0.3 ]
K: [ 0.5, -0.160374 ]
K: [ 0.5, -0.439626 ]
P: [ 0.639626, -0.3 ]
K: [ 0.779252, -0.3 ]
K: [ 0.5, -0.3 ]
K: [ 0.639626, -0.160374 ]
K: [ 0.639626, -0.439626 ]
P: [ 0.779252, -0.3 ]
K: [ 0.918879, -0.3 ]
K: [ 0.639626, -0.3 ]
K: [ 0.779252, -0.160374 ]
K: [ 0.779252, -0.439626 ]
P: [ 0.918879, -0.3 ]
K: [ 1.0585, -0.3 ]
K: [ 0.779252, -0.3 ]
K: [ 0.918879, -0.160374 ]
K: [ 0.918879, -0.439626 ]
P: [ 1.0585, -0.3 ]
K: [ 1.19813, -0.3 ]
K: [ 0.918879, -0.3 ]
K: [ 1.0585, -0.160374 ]
K: [ 1.0585, -0.439626 ]
P: [ 1.19813, -0.3 ]
K: [ 1.0585, -0.3 ]
K: [ 1.19813, -0.160374 ]
K: [ 1.19813, -0.439626 ]
P: [ 1.19813, -0.160374 ]
K: [ 1.0585, -0.160374 ]
K: [ 1.19813, -0.0207476 ]
K: [ 1.19813, -0.3 ]
P: [ 1.19813, -0.0207476 ]
K: [ 1.0585, -0.0207476 ]
K: [ 1.19813, -0.160374 ]
P: [ 1.19813, -0.439626 ]
K: [ 1.0585, -0.439626 ]
K: [ 1.19813, -0.3 ]
K: [ 1.19813, -0.579252 ]
P: [ 1.0585, -0.0207476 ]
K: [ 1.19813, -0.0207476 ]
K: [ 0.918879, -0.0207476 ]
K: [ 1.0585, 0.118879 ]
K: [ 1.0585, -0.160374 ]
P: [ 1.0585, 0.118879 ]
K: [ 0.918879, 0.118879 ]
K: [ 1.0585, 0.258505 ]
K: [ 1.0585, -0.0207476 ]
P: [ 1.0585, 0.258505 ]
K: [ 0.918879, 0.258505 ]
K: [ 1.0585, 0.398131 ]
K: [ 1.0585, 0.118879 ]
P: [ 1.0585, 0.398131 ]
K: [ 0.918879, 0.398131 ]
K: [ 1.0585, 0.537757 ]
K: [ 1.0585, 0.258505 ]
P: [ 1.0585, -0.160374 ]
K: [ 1.19813, -0.160374 ]
K: [ 0.918879, -0.160374 ]
K: [ 1.0585, -0.0207476 ]
K: [ 1.0585, -0.3 ]
P: [ 1.0585, 0.537757 ]
K: [ 0.918879, 0.537757 ]
K: [ 1.0585, 0.398131 ]
P: [ 1.19813, -0.579252 ]
K: [ 1.33776, -0.579252 ]
K: [ 1.0585, -0.579252 ]
K: [ 1.19813, -0.439626 ]
K: [ 1.19813, -0.718879 ]
P: [ 1.33776, -0.579252 ]
K: [ 1.19813, -0.579252 ]
K: [ 1.33776, -0.718879 ]
P: [ 1.33776, -0.718879 ]
K: [ 1.19813, -0.718879 ]
K: [ 1.33776, -0.579252 ]
K: [ 1.33776, -0.858505 ]
P: [ 1.0585, -0.439626 ]
K: [ 1.19813, -0.439626 ]
K: [ 0.918879, -0.439626 ]
K: [ 1.0585, -0.3 ]
K: [ 1.0585, -0.579252 ]
P: [ 0.918879, 0.258505 ]
K: [ 1.0585, 0.258505 ]
K: [ 0.779252, 0.258505 ]
K: [ 0.918879, 0.398131 ]
K: [ 0.918879, 0.118879 ]
P: [ 0.918879, 0.118879 ]
K: [ 1.0585, 0.118879 ]
K: [ 0.779252, 0.118879 ]
K: [ 0.918879, 0.258505 ]
K: [ 0.918879, -0.0207476 ]
P: [ 0.918879, -0.160374 ]
K: [ 1.0585, -0.160374 ]
K: [ 0.779252, -0.160374 ]
K: [ 0.918879, -0.0207476 ]
K: [ 0.918879, -0.3 ]
P: [ 0.918879, -0.0207476 ]
K: [ 1.0585, -0.0207476 ]
K: [ 0.779252, -0.0207476 ]
K: [ 0.918879, 0.118879 ]
K: [ 0.918879, -0.160374 ]
P: [ 0.918879, 0.398131 ]
K: [ 1.0585, 0.398131 ]
K: [ 0.779252, 0.398131 ]
K: [ 0.918879, 0.537757 ]
K: [ 0.918879, 0.258505 ]
P: [ 1.33776, -0.858505 ]
K: [ 1.19813, -0.858505 ]
K: [ 1.33776, -0.718879 ]
K: [ 1.33776, -0.998131 ]
P: [ 1.19813, -0.718879 ]
K: [ 1.33776, -0.718879 ]
K: [ 1.0585, -0.718879 ]
K: [ 1.19813, -0.579252 ]
K: [ 1.19813, -0.858505 ]
P: [ 0.918879, 0.537757 ]
K: [ 1.0585, 0.537757 ]
K: [ 0.779252, 0.537757 ]
K: [ 0.918879, 0.677384 ]
K: [ 0.918879, 0.398131 ]
P: [ 1.0585, -0.579252 ]
K: [ 1.19813, -0.579252 ]
K: [ 0.918879, -0.579252 ]
K: [ 1.0585, -0.439626 ]
K: [ 1.0585, -0.718879 ]
P: [ 0.918879, 0.677384 ]
K: [ 0.779252, 0.677384 ]
K: [ 0.918879, 0.537757 ]
P: [ 0.918879, -0.439626 ]
K: [ 1.0585, -0.439626 ]
K: [ 0.779252, -0.439626 ]
K: [ 0.918879, -0.3 ]
K: [ 0.918879, -0.579252 ]
P: [ 1.19813, -0.858505 ]
K: [ 1.33776, -0.858505 ]
K: [ 1.0585, -0.858505 ]
K: [ 1.19813, -0.718879 ]
K: [ 1.19813, -0.998131 ]
P: [ 1.33776, -0.998131 ]
K: [ 1.19813, -0.998131 ]
K: [ 1.33776, -0.858505 ]
K: [ 1.33776, -1.13776 ]
P: [ 0.779252, -0.0207476 ]
K: [ 0.918879, -0.0207476 ]
K: [ 0.639626, -0.0207476 ]
K: [ 0.779252, 0.118879 ]
K: [ 0.779252, -0.160374 ]
P: [ 0.779252, 0.118879 ]
K: [ 0.918879, 0.118879 ]
K: [ 0.639626, 0.118879 ]
K: [ 0.779252, 0.258505 ]
K: [ 0.779252, -0.0207476 ]
P: [ 0.779252, 0.258505 ]
K: [ 0.918879, 0.258505 ]
K: [ 0.639626, 0.258505 ]
K: [ 0.779252, 0.398131 ]
K: [ 0.779252, 0.118879 ]
P: [ 0.779252, 0.398131 ]
K: [ 0.918879, 0.398131 ]
K: [ 0.639626, 0.398131 ]
K: [ 0.779252, 0.537757 ]
K: [ 0.779252, 0.258505 ]
P: [ 1.0585, -0.718879 ]
K: [ 1.19813, -0.718879 ]
K: [ 0.918879, -0.718879 ]
K: [ 1.0585, -0.579252 ]
K: [ 1.0585, -0.858505 ]
P: [ 0.779252, -0.160374 ]
K: [ 0.918879, -0.160374 ]
K: [ 0.639626, -0.160374 ]
K: [ 0.779252, -0.0207476 ]
K: [ 0.779252, -0.3 ]
P: [ 0.779252, 0.537757 ]
K: [ 0.918879, 0.537757 ]
K: [ 0.639626, 0.537757 ]
K: [ 0.779252, 0.677384 ]
K: [ 0.779252, 0.398131 ]
P: [ 0.918879, -0.579252 ]
K: [ 1.0585, -0.579252 ]
K: [ 0.779252, -0.579252 ]
K: [ 0.918879, -0.439626 ]
K: [ 0.918879, -0.718879 ]
P: [ 0.779252, 0.677384 ]
K: [ 0.918879, 0.677384 ]
K: [ 0.639626, 0.677384 ]
K: [ 0.779252, 0.81701 ]
K: [ 0.779252, 0.537757 ]
P: [ 1.19813, -0.998131 ]
K: [ 1.33776, -0.998131 ]
K: [ 1.0585, -0.998131 ]
K: [ 1.19813, -0.858505 ]
K: [ 1.19813, -1.13776 ]
P: [ 1.0585, -0.858505 ]
K: [ 1.19813, -0.858505 ]
