G: [ 3.1415, 0 ]
P: [ 0.1, -0.8 ]
K: [ 0.239626, -0.8 ]
K: [ -0.0396262, -0.8 ]
K: [ 0.1, -0.520748 ]
K: [ 0.1, -1.07925 ]
P: [ 0.239626, -0.8 ]
K: [ 0.379252, -0.8 ]
K: [ 0.1, -0.8 ]
K: [ 0.239626, -0.381121 ]
K: [ 0.239626, -1.21888 ]
P: [ 0.379252, -0.8 ]
K: [ 0.518879, -0.8 ]
K: [ 0.239626, -0.8 ]
K: [ 0.379252, -0.520748 ]
K: [ 0.379252, -1.07925 ]
P: [ 0.518879, -0.8 ]
K: [ 0.658505, -0.8 ]
K: [ 0.379252, -0.8 ]
K: [ 0.518879, -0.660374 ]
K: [ 0.518879, -0.939626 ]
P: [ 0.658505, -0.8 ]
K: [ 0.798131, -0.8 ]
K: [ 0.518879, -0.8 ]
K: [ 0.658505, -0.660374 ]
K: [ 0.658505, -0.939626 ]
P: [ 0.798131, -0.8 ]
K: [ 0.658505, -0.8 ]
K: [ 0.798131, -0.660374 ]
K: [ 0.798131, -0.939626 ]
P: [ 0.798131, -0.660374 ]
K: [ 0.658505, -0.660374 ]
K: [ 0.798131, -0.8 ]
P: [ 0.798131, -0.939626 ]
K: [ 0.937757, -0.939626 ]
K: [ 0.658505, -0.939626 ]
K: [ 0.798131, -0.8 ]
K: [ 0.798131, -1.07925 ]
P: [ 0.937757, -0.939626 ]
K: [ 0.798131, -0.939626 ]
K: [ 0.937757, -1.07925 ]
P: [ 0.937757, -1.07925 ]
K: [ 0.798131, -1.07925 ]
K: [ 0.937757, -0.939626 ]
K: [ 0.937757, -1.21888 ]
P: [ 0.937757, -1.21888 ]
K: [ 1.07738, -1.21888 ]
K: [ 0.798131, -1.21888 ]
K: [ 0.937757, -1.07925 ]
K: [ 0.937757, -1.3585 ]
P: [ 1.07738, -1.21888 ]
K: [ 0.937757, -1.21888 ]
K: [ 1.07738, -1.3585 ]
P: [ 1.07738, -1.3585 ]
K: [ 1.21701, -1.3585 ]
K: [ 0.937757, -1.3585 ]
K: [ 1.07738, -1.21888 ]
K: [ 1.07738, -1.49813 ]
P: [ 1.21701, -1.3585 ]
K: [ 1.07738, -1.3585 ]
K: [ 1.21701, -1.49813 ]
P: [ 1.21701, -1.49813 ]
K: [ 1.07738, -1.49813 ]
K: [ 1.21701, -1.3585 ]
K: [ 1.21701, -1.63776 ]
P: [ 0.658505, -0.660374 ]
K: [ 0.798131, -0.660374 ]
K: [ 0.518879, -0.660374 ]
K: [ 0.658505, -0.520748 ]
K: [ 0.658505, -0.8 ]
P: [ 0.658505, -0.520748 ]
K: [ 0.518879, -0.520748 ]
K: [ 0.658505, -0.381121 ]
K: [ 0.658505, -0.660374 ]
P: [ 0.658505, -0.381121 ]
K: [ 0.518879, -0.381121 ]
K: [ 0.658505, -0.520748 ]
P: [ 0.798131, -1.07925 ]
K: [ 0.937757, -1.07925 ]
K: [ 0.658505, -1.07925 ]
K: [ 0.798131, -0.939626 ]
K: [ 0.798131, -1.21888 ]
P: [ 1.21701, -1.63776 ]
K: [ 1.35664, -1.63776 ]
K: [ 1.07738, -1.63776 ]
K: [ 1.21701, -1.49813 ]
K: [ 1.21701, -1.77738 ]
P: [ 1.35664, -1.63776 ]
K: [ 1.21701, -1.63776 ]
K: [ 1.35664, -1.77738 ]
P: [ 1.35664, -1.77738 ]
K: [ 1.49626, -1.77738 ]
K: [ 1.21701, -1.77738 ]
K: [ 1.35664, -1.63776 ]
K: [ 1.35664, -1.91701 ]
P: [ 1.49626, -1.77738 ]
K: [ 1.63589, -1.77738 ]
K: [ 1.35664, -1.77738 ]
K: [ 1.49626, -1.91701 ]
P: [ 1.63589, -1.77738 ]
K: [ 1.77551, -1.77738 ]
K: [ 1.49626, -1.77738 ]
K: [ 1.63589, -1.91701 ]
P: [ 1.77551, -1.77738 ]
K: [ 1.91514, -1.77738 ]
K: [ 1.63589, -1.77738 ]
K: [ 1.77551, -1.63776 ]
K: [ 1.77551, -1.91701 ]
P: [ 1.77551, -1.63776 ]
K: [ 1.91514, -1.63776 ]
K: [ 1.77551, -1.49813 ]
K: [ 1.77551, -1.77738 ]
P: [ 1.77551, -1.49813 ]
K: [ 1.91514, -1.49813 ]
K: [ 1.77551, -1.3585 ]
K: [ 1.77551, -1.63776 ]
P: [ 1.77551, -1.3585 ]
K: [ 1.91514, -1.3585 ]
K: [ 1.77551, -1.21888 ]
K: [ 1.77551, -1.49813 ]
P: [ 1.77551, -1.21888 ]
K: [ 1.91514, -1.21888 ]
K: [ 1.63589, -1.21888 ]
K: [ 1.77551, -1.07925 ]
K: [ 1.77551, -1.3585 ]
P: [ 1.91514, -1.21888 ]
K: [ 2.05477, -1.21888 ]
K: [ 1.77551, -1.21888 ]
K: [ 1.91514, -0.939626 ]
K: [ 1.91514, -1.49813 ]
P: [ 1.91514, -0.939626 ]
K: [ 2.05477, -0.939626 ]
K: [ 1.77551, -0.939626 ]
K: [ 1.91514, -0.660374 ]
K: [ 1.91514, -1.21888 ]
P: [ 1.91514, -0.660374 ]
K: [ 2.05477, -0.660374 ]
K: [ 1.77551, -0.660374 ]
K: [ 1.91514, -0.381121 ]
K: [ 1.91514, -0.939626 ]
P: [ 2.05477, -0.660374 ]
K: [ 2.19439, -0.660374 ]
K: [ 1.91514, -0.660374 ]
K: [ 2.05477, -0.520748 ]
K: [ 2.05477, -0.8 ]
P: [ 2.19439, -0.660374 ]
K: [ 2.33402, -0.660374 ]
K: [ 2.05477, -0.660374 ]
K: [ 2.19439, -0.520748 ]
K: [ 2.19439, -0.8 ]
P: [ 2.33402, -0.660374 ]
K: [ 2.19439, -0.660374 ]
K: [ 2.33402, -0.8 ]
P: [ 2.19439, -0.520748 ]
