exp_init,exp_final,time_init,time_final,eps_final,path_len
88,676728,0.00498502,40,1,5.57841
88,665612,0.00520798,40,1,5.57841
88,680662,0.00480037,40.0001,1,5.57841
88,673708,0.00490413,40,1,5.57841
88,676592,0.0047677,40,1,5.57841
88,673959,0.0048581,40.0001,1,5.57841
88,677460,0.00490001,40.0001,1,5.57841
88,674867,0.00538505,40,1,5.57841
88,671100,0.00502018,40,1,5.57841
88,667605,0.00486789,40,1,5.57841
88,679696,0.00493691,40,1,5.57841
88,677497,0.00479073,40,1,5.57841
88,680745,0.00491889,40,1,5.57841
88,665076,0.00489307,40,1,5.57841
88,678323,0.00478408,40,1,5.57841
88,669766,0.00483629,40,1,5.57841
88,679419,0.00480651,40,1,5.57841
88,680529,0.00481049,40,1,5.57841
88,679103,0.00494117,40.0001,1,5.57841
88,666735,0.00509505,40,1,5.57841
88,670254,0.00497655,40.0001,1,5.57841
88,672807,0.00550534,40,1,5.57841
88,670872,0.00503044,40,1,5.57841
88,676324,0.00541303,40,1,5.57841
88,681550,0.00479102,40,1,5.57841
88,674752,0.00489537,40.0001,1,5.57841
88,674842,0.00482918,40.0001,1,5.57841
88,678208,0.00481599,40,1,5.57841
88,671345,0.00501974,40,1,5.57841
88,680779,0.00496724,40,1,5.57841
88,669891,0.00496946,40.0001,1,5.57841
88,669963,0.00494874,40,1,5.57841
88,669351,0.00487778,40,1,5.57841
88,672106,0.00497672,40,1,5.57841
88,677424,0.00483895,40,1,5.57841
88,678773,0.00489735,40,1,5.57841
88,684401,0.00488761,40,1,5.57841
88,673333,0.0048769,40,1,5.57841
88,679348,0.00481281,40,1,5.57841
88,677658,0.00504291,40,1,5.57841
88,668795,0.00530685,40,1,5.57841
88,667093,0.00497385,40,1,5.57841
88,681576,0.00481016,40,1,5.57841
88,681537,0.00485347,40,1,5.57841
88,675829,0.00490892,40,1,5.57841
88,681391,0.00478386,40.0001,1,5.57841
88,680724,0.00483623,40,1,5.57841
88,675974,0.00483952,40,1,5.57841
88,677283,0.00533516,40,1,5.57841
88,678382,0.00484708,40,1,5.57841
88,670777,0.00499755,40,1,5.57841
88,674720,0.00481395,40,1,5.57841
88,678782,0.00485804,40,1,5.57841
88,674822,0.00488386,40,1,5.57841
88,660896,0.00499996,40.0001,1,5.57841
88,674747,0.00488113,40,1,5.57841
88,679009,0.00488577,40,1,5.57841
88,674955,0.00533129,40,1,5.57841
88,679720,0.0047797,40,1,5.57841
88,677459,0.00492136,40,1,5.57841
88,679132,0.0053479,40,1,5.57841
88,680446,0.00474773,40.0001,1,5.57841
88,684668,0.0047661,40,1,5.57841
88,674929,0.00485927,40.0001,1,5.57841
88,679118,0.00482038,40,1,5.57841
88,677454,0.00484241,40.0001,1,5.57841
88,671843,0.00484552,40,1,5.57841
88,673579,0.00484399,40.0001,1,5.57841
88,676885,0.00482457,40,1,5.57841
88,661725,0.00497366,40,1,5.57841
88,676055,0.00483905,40,1,5.57841
88,674995,0.00483772,40.0001,1,5.57841
88,673026,0.00482411,40,1,5.57841
88,677628,0.00485629,40,1,5.57841
88,680170,0.00502004,40,1,5.57841
88,679903,0.00476366,40.0001,1,5.57841
88,675013,0.00496253,40.0001,1,5.57841
88,675921,0.00484574,40,1,5.57841
88,678596,0.00521045,40,1,5.57841
88,675362,0.00582351,40,1,5.57841
88,670623,0.00486942,40,1,5.57841
88,668829,0.00532561,40,1,5.57841
88,672091,0.00492632,40,1,5.57841
88,678291,0.00490966,40,1,5.57841
88,668591,0.00498503,40,1,5.57841
88,675281,0.00511567,40,1,5.57841
88,677135,0.00493368,40,1,5.57841
88,674864,0.00496478,40,1,5.57841
88,679883,0.00481161,40,1,5.57841
88,660229,0.00492266,40,1,5.57841
88,674604,0.00490221,40,1,5.57841
88,674631,0.00487728,40,1,5.57841
88,680645,0.00666318,40,1,5.57841
88,675630,0.00524188,40,1,5.57841
88,670434,0.00514613,40.0001,1,5.57841
88,671861,0.00483105,40,1,5.57841
88,669475,0.00497818,40,1,5.57841
88,677256,0.00479007,40,1,5.57841
88,675375,0.00483616,40,1,5.57841
88,677015,0.00480886,40,1,5.57841
