exp_init,exp_final,time_init,time_final,eps_final,path_len
150,677191,0.00732918,40,1,5.62675
150,671898,0.00759627,40.0001,1,5.62675
150,674639,0.00723107,40,1,5.62675
150,677733,0.00787568,40,1,5.62675
150,676131,0.00725531,40,1,5.62675
150,675840,0.00726521,40.0001,1,5.62675
150,672789,0.00729315,40,1,5.62675
150,673156,0.00727869,40,1,5.62675
150,673628,0.00732254,40,1,5.62675
150,675427,0.0074093,40,1,5.62675
150,674244,0.00728317,40,1,5.62675
150,676895,0.00715461,40,1,5.62675
150,670249,0.00753889,40,1,5.62675
150,676158,0.00729813,40,1,5.62675
150,673497,0.00767233,40,1,5.62675
150,672965,0.00745178,40,1,5.62675
150,673983,0.00725414,40.0001,1,5.62675
150,670477,0.00837658,40,1,5.62675
150,676461,0.00719882,40,1,5.62675
150,663259,0.00773964,40,1,5.62675
150,671619,0.00734117,40,1,5.62675
150,672845,0.00728873,40,1,5.62675
150,672838,0.00769679,40,1,5.62675
150,677076,0.00741828,40,1,5.62675
150,674575,0.00754912,40.0001,1,5.62675
150,676331,0.00748942,40,1,5.62675
150,675946,0.00726982,40,1,5.62675
150,671154,0.00741387,40.0001,1,5.62675
150,669850,0.00737979,40,1,5.62675
150,675334,0.0073473,40,1,5.62675
150,671742,0.00752935,40,1,5.62675
150,671006,0.00743861,40,1,5.62675
150,671369,0.00747357,40,1,5.62675
150,670589,0.00744374,40.0001,1,5.62675
150,675774,0.00762432,40,1,5.62675
150,671646,0.00732175,40,1,5.62675
150,675124,0.00737573,40,1,5.62675
150,680339,0.00720992,40,1,5.62675
150,677463,0.00726813,40.0001,1,5.62675
150,675499,0.00741447,40,1,5.62675
150,676025,0.00727779,40,1,5.62675
150,672715,0.00719613,40,1,5.62675
150,667497,0.0074307,40,1,5.62675
150,674413,0.00746481,40,1,5.62675
150,677060,0.00726565,40,1,5.62675
150,674869,0.00715979,40,1,5.62675
150,671292,0.00759065,40,1,5.62675
150,675688,0.00737297,40,1,5.62675
150,674001,0.00737958,40.0001,1,5.62675
150,677065,0.00714033,40,1,5.62675
150,672441,0.00738854,40,1,5.62675
150,674006,0.00762594,40.0002,1,5.62675
150,667802,0.00742516,40,1,5.62675
150,673651,0.00745016,40,1,5.62675
150,673283,0.00729191,40,1,5.62675
150,679244,0.00717851,40,1,5.62675
150,675022,0.00741343,40,1,5.62675
150,669363,0.00764145,40,1,5.62675
150,671139,0.007432,40,1,5.62675
150,674107,0.00741215,40,1,5.62675
150,674476,0.00738763,40,1,5.62675
150,675013,0.00720225,40,1,5.62675
150,675506,0.00736422,40,1,5.62675
150,675427,0.007348,40,1,5.62675
150,670780,0.00738803,40,1,5.62675
150,677411,0.00772786,40,1,5.62675
150,677382,0.011591,40.0001,1,5.62675
150,667932,0.00746445,40,1,5.62675
150,674818,0.00720013,40,1,5.62675
150,669726,0.00733518,40,1,5.62675
150,675589,0.00728862,40,1,5.62675
150,678605,0.0073045,40,1,5.62675
150,674812,0.00733101,40,1,5.62675
150,672601,0.00753796,40,1,5.62675
150,677577,0.00752589,40.0001,1,5.62675
150,675467,0.00727163,40,1,5.62675
150,674101,0.00742864,40,1,5.62675
150,678704,0.00784062,40,1,5.62675
150,677176,0.00721677,40,1,5.62675
150,673420,0.00779013,40.0001,1,5.62675
150,677426,0.00717991,40,1,5.62675
150,675322,0.00736736,40,1,5.62675
150,672691,0.00733051,40,1,5.62675
150,674595,0.00727165,40.0001,1,5.62675
150,678238,0.00747765,40,1,5.62675
150,674584,0.00726982,40.0001,1,5.62675
150,675128,0.00741643,40,1,5.62675
150,671885,0.00733831,40,1,5.62675
150,671674,0.00750636,40,1,5.62675
150,670413,0.00744504,40,1,5.62675
150,674149,0.00730122,40,1,5.62675
150,674693,0.00734878,40.0003,1,5.62675
150,677216,0.00724745,40,1,5.62675
150,672960,0.00729722,40,1,5.62675
150,675552,0.00726418,40,1,5.62675
150,670292,0.00733299,40,1,5.62675
150,671374,0.00737819,40,1,5.62675
150,674941,0.00744747,40,1,5.62675
150,675300,0.00844754,40.0001,1,5.62675
150,674298,0.00727127,40,1,5.62675
